codigo_usuario;Celular;genero;idade;cidade;estado
38103;28988706038;M;38;Gurupi;TO
40511;31712113691;M;37;Gurupi;TO
48268;38958917294;M;52;Gurupi;TO
50506;41625731361;M;38;Gurupi;TO
55339;46134773348;F;16;Gurupi;TO
77841;68434916295;M;17;Gurupi;TO
82057;72539198305;F;21;Gurupi;TO
86472;76883293720;F;60;Gurupi;TO
90936;81698969957;F;70;Gurupi;TO
97624;87874852933;F;19;Gurupi;TO
100718;91540495938;M;70;Gurupi;TO
103021;93268431838;F;62;Gurupi;TO
107307;97469653626;M;36;Gurupi;TO
107439;97575814545;F;39;Gurupi;TO
108332;98455838822;M;55;Gurupi;TO
11954;11692233390;M;68;Lagoa da Confusão;TO
33064;23997129207;F;65;Lagoa da Confusão;TO
41482;32388932964;F;36;Lagoa da Confusão;TO
43275;34246616214;M;53;Lagoa da Confusão;TO
43711;34634702641;F;19;Lagoa da Confusão;TO
45811;36659931777;M;39;Lagoa da Confusão;TO
48531;39302466720;F;36;Lagoa da Confusão;TO
48948;39692475104;M;65;Lagoa da Confusão;TO
50264;41517986769;F;42;Lagoa da Confusão;TO
58048;48776624633;F;43;Lagoa da Confusão;TO
61186;51938027812;F;65;Lagoa da Confusão;TO
68272;58900913783;F;15;Lagoa da Confusão;TO
76206;66820635263;F;79;Lagoa da Confusão;TO
91206;81824576146;M;37;Lagoa da Confusão;TO
93078;83510334371;M;46;Lagoa da Confusão;TO
94625;84940252052;M;54;Lagoa da Confusão;TO
95724;85971493089;M;48;Lagoa da Confusão;TO
104102;94282084013;M;40;Lagoa da Confusão;TO
104960;95193140947;F;33;Lagoa da Confusão;TO
105874;95975233436;M;32;Lagoa da Confusão;TO
13816;12467886526;F;34;Maurilândia do Tocantins;TO
17098;14160746450;M;44;Maurilândia do Tocantins;TO
18982;15112151386;M;26;Maurilândia do Tocantins;TO
27905;19496886656;M;26;Maurilândia do Tocantins;TO
34629;25645817353;F;79;Maurilândia do Tocantins;TO
38918;29792604256;M;55;Maurilândia do Tocantins;TO
44950;35817982840;M;78;Maurilândia do Tocantins;TO
60254;51554984211;F;28;Maurilândia do Tocantins;TO
60793;51777689353;M;72;Maurilândia do Tocantins;TO
69856;61346917411;F;39;Maurilândia do Tocantins;TO
71009;61854622473;M;63;Maurilândia do Tocantins;TO
82103;72579824893;F;57;Maurilândia do Tocantins;TO
86359;76769651706;F;32;Maurilândia do Tocantins;TO
92333;82758250621;F;60;Maurilândia do Tocantins;TO
99602;89880538818;M;28;Maurilândia do Tocantins;TO
104337;94491458659;F;65;Maurilândia do Tocantins;TO
18358;14732701148;F;21;Nazaré;TO
26327;18709867899;F;60;Nazaré;TO
29064;21116167633;M;75;Nazaré;TO
49494;41187619198;F;36;Nazaré;TO
51209;41953824303;F;75;Nazaré;TO
63311;53960192663;M;34;Nazaré;TO
65284;55899554228;F;50;Nazaré;TO
66725;57388891090;M;25;Nazaré;TO
70023;61436785400;M;73;Nazaré;TO
70261;61543146568;F;18;Nazaré;TO
72895;63610122880;M;54;Nazaré;TO
83642;74185369946;M;45;Nazaré;TO
84925;75410062511;M;72;Nazaré;TO
88148;78591973979;F;77;Nazaré;TO
91674;82155635466;F;36;Nazaré;TO
94613;84928961809;M;22;Nazaré;TO
98626;88867448648;F;71;Nazaré;TO
99279;89575976530;F;52;Nazaré;TO
104769;94894246337;F;78;Nazaré;TO
14611;12823295384;F;33;Palmeirópolis;TO
14753;12879987218;M;57;Palmeirópolis;TO
16875;13954525031;F;80;Palmeirópolis;TO
19212;15208846403;F;71;Palmeirópolis;TO
31048;22129207782;M;40;Palmeirópolis;TO
47236;37990286246;F;57;Palmeirópolis;TO
54937;45670248899;M;29;Palmeirópolis;TO
59368;51149736092;M;72;Palmeirópolis;TO
67803;58475543637;F;66;Palmeirópolis;TO
74025;64738097314;F;62;Palmeirópolis;TO
77946;68523696486;F;35;Palmeirópolis;TO
78800;69358139883;M;45;Palmeirópolis;TO
87913;78376468751;M;71;Palmeirópolis;TO
96189;86474111318;M;33;Palmeirópolis;TO
100929;91635231976;M;36;Palmeirópolis;TO
102734;92919448290;M;19;Palmeirópolis;TO
104354;94506252970;F;68;Palmeirópolis;TO
105976;96165505714;F;28;Palmeirópolis;TO
109421;99504581056;M;21;Palmeirópolis;TO
109886;99913482696;F;46;Palmeirópolis;TO
19990;15526069311;F;66;Pindorama do Tocantins;TO
26918;18962815334;M;36;Pindorama do Tocantins;TO
27328;19251762660;F;29;Pindorama do Tocantins;TO
36163;27181068127;M;20;Pindorama do Tocantins;TO
36394;27383017055;F;57;Pindorama do Tocantins;TO
43619;34542174655;M;73;Pindorama do Tocantins;TO
45320;36238840598;M;27;Pindorama do Tocantins;TO
48140;38854365353;F;52;Pindorama do Tocantins;TO
51794;42533899469;M;67;Pindorama do Tocantins;TO
52950;43668535228;M;17;Pindorama do Tocantins;TO
63637;54356303793;F;74;Pindorama do Tocantins;TO
71884;62655985428;M;32;Pindorama do Tocantins;TO
75307;65950062027;F;55;Pindorama do Tocantins;TO
92754;83235500064;M;53;Pindorama do Tocantins;TO
93694;84134132862;F;73;Pindorama do Tocantins;TO
99294;89587571508;M;28;Pindorama do Tocantins;TO
100959;91646178501;F;58;Pindorama do Tocantins;TO
105322;95526393174;F;56;Pindorama do Tocantins;TO
16244;13658360689;F;58;Presidente Kennedy;TO
34379;25423462105;M;27;Presidente Kennedy;TO
37495;28465411624;M;52;Presidente Kennedy;TO
48951;39696245743;F;60;Presidente Kennedy;TO
49368;41131515230;M;45;Presidente Kennedy;TO
51487;42257553282;F;18;Presidente Kennedy;TO
52402;43149898157;M;41;Presidente Kennedy;TO
63604;54322516491;F;51;Presidente Kennedy;TO
81795;72296847095;F;26;Presidente Kennedy;TO
82078;72561896202;F;42;Presidente Kennedy;TO
89562;79977785479;M;56;Presidente Kennedy;TO
89983;81283158446;M;69;Presidente Kennedy;TO
94770;85168569178;M;59;Presidente Kennedy;TO
102915;93188800428;F;39;Presidente Kennedy;TO
105005;95231391597;M;41;Presidente Kennedy;TO
10081;11131489732;M;27;Sandolândia;TO
11834;11655038456;F;57;Sandolândia;TO
12021;11716238380;M;51;Sandolândia;TO
21420;16296074776;F;58;Sandolândia;TO
24135;17610824427;M;33;Sandolândia;TO
25729;18428060214;F;16;Sandolândia;TO
27881;19486961459;F;38;Sandolândia;TO
30621;21816901441;F;71;Sandolândia;TO
34880;25848252619;F;80;Sandolândia;TO
39193;31130135117;M;41;Sandolândia;TO
57201;47894702348;F;72;Sandolândia;TO
58449;49233481559;M;63;Sandolândia;TO
59773;51331723224;F;72;Sandolândia;TO
68776;59446741734;F;47;Sandolândia;TO
70140;61487330287;M;80;Sandolândia;TO
73916;64640840488;M;19;Sandolândia;TO
78172;68717202650;F;60;Sandolândia;TO
83773;74291451980;F;49;Sandolândia;TO
95190;85517435769;F;36;Sandolândia;TO
97026;87338064857;F;59;Sandolândia;TO
109801;99847506167;M;32;Sandolândia;TO
10896;11355822122;M;39;São Félix do Tocantins;TO
16739;13890694527;F;76;São Félix do Tocantins;TO
19062;15147192426;F;65;São Félix do Tocantins;TO
22518;16781391100;M;73;São Félix do Tocantins;TO
32136;23176570821;F;25;São Félix do Tocantins;TO
45594;36482555742;F;17;São Félix do Tocantins;TO
50829;41770256031;M;23;São Félix do Tocantins;TO
71797;62566717931;M;79;São Félix do Tocantins;TO
81405;71919201984;F;73;São Félix do Tocantins;TO
82725;73248211045;F;79;São Félix do Tocantins;TO
86456;76870335008;M;58;São Félix do Tocantins;TO
94801;85196774636;F;47;São Félix do Tocantins;TO
99139;89450352829;F;15;São Félix do Tocantins;TO
107806;97901274751;F;40;São Félix do Tocantins;TO
22303;16681779710;F;57;Taguatinga;TO
23366;17252016780;F;45;Taguatinga;TO
29821;21465543985;F;46;Taguatinga;TO
32167;23205128344;F;18;Taguatinga;TO
35382;26412447199;F;26;Taguatinga;TO
45195;36134849877;F;29;Taguatinga;TO
47996;38736033260;M;75;Taguatinga;TO
49224;39941583936;M;76;Taguatinga;TO
54617;45370527926;M;51;Taguatinga;TO
56143;46828289686;M;52;Taguatinga;TO
63930;54583572832;M;69;Taguatinga;TO
72921;63628637434;M;28;Taguatinga;TO
73027;63722506432;M;24;Taguatinga;TO
77813;68405814972;F;23;Taguatinga;TO
79038;69556479834;F;76;Taguatinga;TO
82295;72744700284;F;75;Taguatinga;TO
92270;82705653955;F;36;Taguatinga;TO
95083;85421918198;M;78;Taguatinga;TO
108124;98275781188;F;25;Taguatinga;TO
11240;11472122689;M;60;Wanderlândia;TO
11563;11569945485;F;34;Wanderlândia;TO
22411;16733355616;M;25;Wanderlândia;TO
22428;16742271389;M;39;Wanderlândia;TO
24004;17543965174;F;76;Wanderlândia;TO
28784;19883205518;M;73;Wanderlândia;TO
30016;21540938202;F;69;Wanderlândia;TO
34524;25559572362;M;21;Wanderlândia;TO
47715;38492505277;M;16;Wanderlândia;TO
48071;38800250034;M;15;Wanderlândia;TO
52959;43674386726;M;73;Wanderlândia;TO
59152;49897093438;F;42;Wanderlândia;TO
60185;51525540976;F;39;Wanderlândia;TO
61175;51932863018;F;69;Wanderlândia;TO
70331;61573665158;M;70;Wanderlândia;TO
80507;71517023903;F;43;Wanderlândia;TO
81534;71972472992;M;64;Wanderlândia;TO
96844;87193652837;F;29;Wanderlândia;TO
106807;96901116402;F;15;Wanderlândia;TO
108922;98984633930;M;68;Wanderlândia;TO
31247;22299619325;F;47;Alto Alegre do Maranhão;MA
36144;27164696865;M;66;Alto Alegre do Maranhão;MA
43182;34161621804;M;33;Alto Alegre do Maranhão;MA
47111;37867162069;F;60;Alto Alegre do Maranhão;MA
65363;55963874581;M;26;Alto Alegre do Maranhão;MA
65912;56577901344;M;60;Alto Alegre do Maranhão;MA
69936;61386970084;M;33;Alto Alegre do Maranhão;MA
73994;64707569464;F;50;Alto Alegre do Maranhão;MA
84838;75325928272;M;75;Alto Alegre do Maranhão;MA
88055;78496933291;M;34;Alto Alegre do Maranhão;MA
97906;88203879968;M;78;Alto Alegre do Maranhão;MA
100490;91448787962;M;15;Alto Alegre do Maranhão;MA
20711;15867291572;F;55;Araguanã;MA
24478;17767928530;F;48;Araguanã;MA
28306;19669520254;M;32;Araguanã;MA
40698;31792465383;M;47;Araguanã;MA
46046;36852774021;F;32;Araguanã;MA
46656;37492927619;M;55;Araguanã;MA
54885;45625185331;M;17;Araguanã;MA
59615;51256779994;F;58;Araguanã;MA
65134;55764997741;M;49;Araguanã;MA
71695;62467538673;F;42;Araguanã;MA
79798;71227671602;M;71;Araguanã;MA
94020;84426538360;F;15;Araguanã;MA
100224;91332940499;M;55;Araguanã;MA
104181;94352653484;M;38;Araguanã;MA
106881;96955374869;M;26;Araguanã;MA
10337;11202363764;M;18;Bacurituba;MA
10415;11223874465;M;78;Bacurituba;MA
25622;18382649470;F;43;Bacurituba;MA
26907;18957054565;F;51;Bacurituba;MA
28272;19656843477;F;34;Bacurituba;MA
28619;19801939931;F;77;Bacurituba;MA
35206;26244632264;M;53;Bacurituba;MA
42210;33179269771;F;76;Bacurituba;MA
43486;34425493638;M;59;Bacurituba;MA
47451;38266984598;M;73;Bacurituba;MA
54941;45674542713;M;74;Bacurituba;MA
60325;51586903720;M;67;Bacurituba;MA
66479;57181608183;M;17;Bacurituba;MA
73820;64540016990;M;43;Bacurituba;MA
79102;69618443262;F;72;Bacurituba;MA
79811;71232414891;M;45;Bacurituba;MA
80275;71412293479;M;56;Bacurituba;MA
95705;85958723930;M;37;Bacurituba;MA
101133;91720033288;M;25;Bacurituba;MA
107427;97566706033;F;44;Bacurituba;MA
108025;98192828553;F;28;Bacurituba;MA
29233;21195198882;M;51;Bequimão;MA
30026;21544266988;F;40;Bequimão;MA
40964;31897165229;F;35;Bequimão;MA
42448;33407512866;F;67;Bequimão;MA
50543;41637837390;F;20;Bequimão;MA
50857;41780625532;F;15;Bequimão;MA
54281;44967606461;F;76;Bequimão;MA
55885;46609235784;M;72;Bequimão;MA
61646;52424188642;M;75;Bequimão;MA
85601;75976458566;M;42;Bequimão;MA
88168;78602481859;F;58;Bequimão;MA
100222;91332106849;M;48;Bequimão;MA
12653;11899559809;F;33;Buriti;MA
14963;12976012150;F;19;Buriti;MA
31484;22501907215;F;77;Buriti;MA
36995;27926562336;F;73;Buriti;MA
40433;31682389508;M;57;Buriti;MA
43293;34264178814;F;38;Buriti;MA
43573;34504736107;F;43;Buriti;MA
47822;38589768688;M;50;Buriti;MA
53407;44196441109;F;32;Buriti;MA
67849;58522851177;F;36;Buriti;MA
72843;63570342576;M;15;Buriti;MA
91893;82349412222;M;26;Buriti;MA
92758;83238286996;F;49;Buriti;MA
93127;83557658393;F;37;Buriti;MA
101157;91726405417;M;66;Buriti;MA
104398;94538293638;M;45;Buriti;MA
104682;94807204318;M;19;Buriti;MA
19177;15196773459;M;54;Cândido Mendes;MA
28277;19658444558;M;33;Cândido Mendes;MA
28917;19944746181;F;41;Cândido Mendes;MA
44738;35623311654;F;61;Cândido Mendes;MA
59287;51115614701;F;38;Cândido Mendes;MA
61492;52284735161;M;48;Cândido Mendes;MA
62639;53389624450;F;45;Cândido Mendes;MA
66583;57261150602;F;44;Cândido Mendes;MA
72951;63649110153;F;66;Cândido Mendes;MA
73225;63893888720;M;57;Cândido Mendes;MA
74680;65376024268;F;48;Cândido Mendes;MA
80596;71564393518;M;73;Cândido Mendes;MA
82489;72921461038;F;24;Cândido Mendes;MA
87397;77823070600;M;25;Cândido Mendes;MA
100713;91539185030;F;72;Cândido Mendes;MA
12814;11944843164;M;58;Centro do Guilherme;MA
16045;13568225269;F;33;Centro do Guilherme;MA
17022;14128727278;F;39;Centro do Guilherme;MA
20982;15984844338;M;33;Centro do Guilherme;MA
31891;22848949734;M;79;Centro do Guilherme;MA
32677;23643340790;M;32;Centro do Guilherme;MA
39004;29868163734;M;35;Centro do Guilherme;MA
41698;32594770389;M;79;Centro do Guilherme;MA
45168;36117286333;M;66;Centro do Guilherme;MA
46615;37468429821;F;41;Centro do Guilherme;MA
48593;39361252678;M;21;Centro do Guilherme;MA
54266;44956226102;F;69;Centro do Guilherme;MA
61868;52625832992;M;15;Centro do Guilherme;MA
67148;57761439716;M;28;Centro do Guilherme;MA
69285;59921566899;F;54;Centro do Guilherme;MA
75933;66591117058;M;24;Centro do Guilherme;MA
95447;85716257323;F;52;Centro do Guilherme;MA
108239;98382510851;F;17;Centro do Guilherme;MA
13838;12474048460;F;65;Coroatá;MA
22773;16900863813;F;43;Coroatá;MA
23957;17521152628;M;27;Coroatá;MA
29786;21447212944;M;20;Coroatá;MA
41850;32750613835;F;43;Coroatá;MA
47813;38580781793;F;54;Coroatá;MA
52792;43516009803;F;22;Coroatá;MA
54774;45521805668;M;71;Coroatá;MA
64127;54762250857;F;75;Coroatá;MA
69295;59932824958;M;42;Coroatá;MA
70285;61554344328;M;37;Coroatá;MA
71156;61926503404;F;41;Coroatá;MA
85308;75768496312;M;50;Coroatá;MA
94913;85288897250;F;49;Coroatá;MA
101680;91965879297;F;79;Coroatá;MA
102387;92646084796;M;46;Coroatá;MA
15663;13400228210;M;61;Fernando Falcão;MA
20203;15624709174;M;31;Fernando Falcão;MA
24620;17836222886;M;31;Fernando Falcão;MA
25227;18214190033;F;19;Fernando Falcão;MA
28802;19892548535;M;23;Fernando Falcão;MA
39649;31338061944;M;79;Fernando Falcão;MA
40856;31848761439;M;20;Fernando Falcão;MA
49325;41117151129;F;61;Fernando Falcão;MA
50306;41539175877;M;54;Fernando Falcão;MA
58116;48842461253;M;71;Fernando Falcão;MA
77002;67624187161;M;78;Fernando Falcão;MA
77904;68494717613;M;57;Fernando Falcão;MA
80235;71395368109;M;62;Fernando Falcão;MA
82888;73392604717;M;20;Fernando Falcão;MA
91931;82379901014;M;56;Fernando Falcão;MA
94971;85330735559;M;75;Fernando Falcão;MA
97186;87483576829;M;77;Fernando Falcão;MA
97705;87938012299;M;36;Fernando Falcão;MA
103417;93607300905;M;78;Fernando Falcão;MA
11619;11588862122;M;24;Governador Eugênio Barros;MA
20851;15931091430;M;52;Governador Eugênio Barros;MA
21538;16347200635;F;80;Governador Eugênio Barros;MA
31843;22805475647;M;19;Governador Eugênio Barros;MA
33488;24502127380;M;42;Governador Eugênio Barros;MA
43516;34456236349;F;31;Governador Eugênio Barros;MA
60389;51612039482;F;44;Governador Eugênio Barros;MA
61337;52133961462;F;37;Governador Eugênio Barros;MA
63998;54641344197;M;19;Governador Eugênio Barros;MA
69105;59751130130;M;41;Governador Eugênio Barros;MA
71191;61942090050;F;43;Governador Eugênio Barros;MA
72877;63596628662;M;33;Governador Eugênio Barros;MA
92226;82673477179;F;44;Governador Eugênio Barros;MA
93276;83679578294;F;25;Governador Eugênio Barros;MA
99754;91131006818;F;55;Governador Eugênio Barros;MA
101038;91677640353;F;41;Governador Eugênio Barros;MA
103713;93843852592;F;44;Governador Eugênio Barros;MA
103885;93977069429;M;54;Governador Eugênio Barros;MA
108136;98289228028;M;37;Governador Eugênio Barros;MA
12859;11959404828;M;22;Icatu;MA
16288;13680351801;F;71;Icatu;MA
17250;14229471265;M;57;Icatu;MA
18826;14934991591;F;76;Icatu;MA
24544;17795711968;F;28;Icatu;MA
34878;25846892248;F;59;Icatu;MA
35132;26186330974;M;32;Icatu;MA
35465;26492117789;M;30;Icatu;MA
38563;29501319154;M;28;Icatu;MA
53011;43719147093;M;24;Icatu;MA
56685;47401653031;F;53;Icatu;MA
62409;53199595696;F;68;Icatu;MA
67843;58512390933;M;27;Icatu;MA
69118;59762086614;M;16;Icatu;MA
74182;64870208234;F;27;Icatu;MA
82064;72544076433;M;71;Icatu;MA
85713;76175160440;M;33;Icatu;MA
90481;81500071050;M;65;Icatu;MA
97894;88195063837;M;22;Icatu;MA
99493;89780626275;M;77;Icatu;MA
99780;91141313222;F;46;Icatu;MA
101479;91873441560;F;28;Icatu;MA
103462;93640827597;M;35;Icatu;MA
